Original,English,Category
trop d'idées fausses circulent surv les réseaux sociuax et dans les association d'écologistes  sur les forestiers de terrain et les pratiques sylvicole qu'ils utilise,Too many false ideas circulate on social media and among environmental associations about field foresters and the silvicultural practices they use,Fake_news
Miglioramento della capacità dei ricercatori di ascoltare gli operatori del settore,Improving researchers’ ability to listen to practitioners in the sector,Improved_collaboration_between_academic_researchers_and_practitioners
améliorer la collaboration entre les différents projets de recherche et centraliser la communication vers les praticiens et cantons,Improve collaboration among different research projects and centralize communication towards practitioners and cantons,Improved_collaboration_between_academic_researchers_and_practitioners
collaboration avec les associations de protection des forêts,Collaboration with forest-protection associations,Improved_collaboration_between_academic_researchers_and_practitioners
a hsználható kutatási eredmények átültetése a gyakorlatba,Translating usable research results into practice,Improved_collaboration_between_academic_researchers_and_practitioners
"Des programmes de recherche plus proches des questions des forestiers de terrain (qui agissent et observent) pluôt que des intérêts des gros acheteurs de bois, des coopératives et des pépiniéristes","Research programmes closer to the questions of field foresters, who act and observe, rather than to the interests of large timber buyers, cooperatives, and nurseries",Improved_collaboration_between_academic_researchers_and_practitioners
Netzwerke von Kleinstwaldbesitzern,Networks of small forest owners,Improved_collaboration_between_academic_researchers_and_practitioners
Nem szélsőséges magát zoldnek nevezett ál kutatók együttműködése szükséges,"Collaboration is needed with non-extreme, genuinely green researchers, not pseudo-researchers calling themselves green",Improved_collaboration_between_academic_researchers_and_practitioners
"A természetes erdőszerkezet megőrzésének és fenntartásának kiemelkedő szerepe, a folyamatos erdőborítást biztosító gyakorlatok terjesztése","The key role of preserving and maintaining natural forest structure, and spreading practices that ensure continuous forest cover",Improved_collaboration_between_academic_researchers_and_practitioners
accès gratuit aux bases de données de la recherche (art. scientifiques...),"Free access to research databases, such as scientific articles",Improved_collaboration_between_academic_researchers_and_practitioners
waldwissen.net,waldwissen.net,Improved_collaboration_between_academic_researchers_and_practitioners
Olyan bemutatók ahol az elmélet találkozik a gyakorlattal,Demonstrations where theory meets practice,Increase_events_where_researchers_and_foresters_can_exchange_i_e_workshops
"Exkursionen in ANW-Beispielbetriebe mit Demo, was getan werden sollte, um Mischung, strukturellen Vielfalt und Ökosystemstabilität zu schaffen und zu erhalten.","Excursions to ANW example enterprises with demonstrations of what should be done to create and maintain species mixture, structural diversity, and ecosystem stability",Increase_events_where_researchers_and_foresters_can_exchange_i_e_workshops
"Exkursionen, Verbandstreffen, Versuchsanbauten","Excursions, association meetings, experimental plantings",Increase_events_where_researchers_and_foresters_can_exchange_i_e_workshops
Exkursionen auch über die Forstvereine und andere Waldverbände !,Excursions also through forestry associations and other forest organizations,Increase_events_where_researchers_and_foresters_can_exchange_i_e_workshops
Condividere esperienze reali di gestione e ricostituzione dei boschi,Share real experiences of forest management and forest restoration,Increase_events_where_researchers_and_foresters_can_exchange_i_e_workshops
kaj pa komunikacija z lastniki,What about communication with owners?,More_or_improved_communication_between_researchers_and_foresters_via_written_media_i_e_magazines_social_media_posts
"sokkal több kutatás, gyakorlati kísérlet és ezekre fordítható anyagi eszköz!","Much more research, practical experimentation, and financial resources for these activities",More_research_and_experiments
maggiore sperimentazione attiva e attivazione di foreste sperimentali per lo studio dei trattamenti elvicolturali maggiormente adatti a garantire resilienza e resistenza ai cambiamenti climatici,More active experimentation and establishment of experimental forests to study silvicultural treatments best suited to ensuring resilience and resistance to climate change,More_research_and_experiments
"Der Zeitablauf. In 50 oder 100 Jahren werden wir wissen, welches die richtigen Anpassungsmethoden waren.",The passage of time. In 50 or 100 years we will know which adaptation methods were the right ones,More_research_and_experiments
Øget forskning,Increased research,More_research_and_experiments
Practical research,Practical research,More_research_and_experiments
Observations personnelles,Personal observations,More_research_and_experiments
mehr beobachten,Observe more,More_research_and_experiments
Mais experimentação e investimento nesta área,More experimentation and investment in this area,More_research_and_experiments
Praxisversuche,Practical trials,More_research_and_experiments
expériences de terrain (retour des praticiens),"Field experiences, feedback from practitioners",More_research_and_experiments
sensibiliser les propriétaires et gouvernement,Raise awareness among owners and government,Policy_governance
Implementacja adaptacyjnych strategii zarzadzania lasem w prawie krajowym,Implementation of adaptive forest-management strategies in national law,Policy_governance
Bessere Information der Politiker nötig,Better information for politicians is needed,Policy_governance
"Revoir les politiques publiques d'aides financières, qui castrent la réflexion","Review public financial-aid policies, which constrain reflection",Policy_governance
"augmenter le sposisblités d'échanges avec le monde politique, qui prend des décisions en se basant trop souvent sur les dires des acteurs les plus bruyants","Increase opportunities for exchange with the political world, which too often makes decisions based on what the loudest actors say",Policy_governance
"Donner des moyens humains supplémentaire et arrêter les flux de communication excessifs qui paralysent la prise de décision et l'action. On a pas le temps de lrie de la documentation, et de participer à des atleirs alors que les surfaces à traiter et les enjeux sont immenses",Provide additional human resources and stop excessive communication flows that paralyse decision-making and action. We do not have time to read documentation and participate in workshops when the areas to manage and the stakes are immense,Resources_capacity_limited
"Súlyos túlszabályozottság és pénzhiány miatt napi megmaradás a kérdés, nem az adaptív stratégia képzés","Due to severe overregulation and lack of money, daily survival is the issue, not training in adaptive strategy",Resources_capacity_limited
indication in forest management plans,Indication in forest management plans,Use_existing_knowledge
Répertorier les essais réussis d'il y a 30 ans,Catalogue successful trials from 30 years ago,Use_existing_knowledge
field experience from other similar zone,Field experience from other similar zones,Use_existing_knowledge
Scharfe Bejagung von verbeißendem Schalenwild,Intensive hunting of browsing ungulates,Wildlife_management
