Original text,Translation,Species
toutes les espèces du cortege d'étage de végetation considere,All species of the vegetation belt considered.,many
Calocèdre,Incense cedar,Calocedrus decurrens
Pinus uncinata,Pinus uncinata,Pinus uncinata
Türkische Tanne,Turkish fir,Abies equi-trojani
genévrier commun,Common juniper,Juniperus communis
Cupressus sempervirens,Cupressus sempervirens,Cupressus sempervirens
Quercus petraea,Quercus petraea,Quercus petraea
Chêne pubescent,Downy oak,Quercus pubescens
Swierk kłujący,Norway spruce,Picea abies
"Pinus nigra salzmanii (et autres), Pinus pinea, Pinus brutia, Cupressus sempervirens, divers cupressus","Pinus nigra salzmannii (and others), Pinus pinea, Pinus brutia, Cupressus sempervirens, various Cupressus",Pinus nigra salzmannii / Pinus pinea / Pinus brutia / Cupressus sempervirens / Cupressus sp.
Pinus taeda,Pinus taeda,Pinus taeda
"Abies equi-trojani, Sequioadendron giganteum","Abies equi-trojani, Sequoiadendron giganteum",Abies equi-trojani / Sequoiadendron giganteum
Castanea sativa,Castanea sativa,Castanea sativa
roverella,Downy oak,Quercus pubescens
Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga menziesii
pinus brutia,Pinus brutia,Pinus brutia
brak,None,
Abies cephalonica,Abies cephalonica,Abies cephalonica
"not-native if legislative obstacles are minimized: Juglans regia, Tilia tomentosa, Fraxinus pennsylvanica, Quercus cerris; native: Prunus avium; native if legal protectes species obstacles are minimised: Sorbus torminalis","Non-native if legislative obstacles are minimized: Juglans regia, Tilia tomentosa, Fraxinus pennsylvanica, Quercus cerris; native: Prunus avium; native if legal protected species obstacles are minimized: Sorbus torminalis",Juglans regia / Tilia tomentosa / Fraxinus pennsylvanica / Quercus cerris / Prunus avium / Sorbus torminalis
RED CEDAR et Sapin de Nordman,Red cedar and Nordmann fir,Juniperus virginiana / Abies nordmanniana
Paulownia,Paulownia,Paulownia spp.
"Dans ma région, nous nous appuyons exclusivement sur la régénération naturelle ou des semis. Pas de plantations.","In my region, we rely exclusively on natural regeneration or seedlings. No plantations.",
araucaria du Chili,Monkey puzzle tree,Araucaria araucana
chene sessile,Sessile oak,Quercus petraea
Quercus pubescens,Quercus pubescens,Quercus pubescens
Pinus pinaster,Pinus pinaster,Pinus pinaster
mountain maple,Mountain maple,Acer spicatum
Sapin de Bornmuller,Bornmuller fir,Abies bornmuelleriana
eucalipto,Eucalyptus,Eucalyptus spp.
Quercus rubra,Quercus rubra,Quercus rubra
pinus pinaster,Pinus pinaster,Pinus pinaster
Nie,No,
Pinus cembra,Pinus cembra,Pinus cembra
acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus
feuillus,Broadleaves,many
Tilia cordata,Tilia cordata,Tilia cordata
Edelkastanie,Sweet chestnut,Castanea sativa
Cryptomeria japonica,Cryptomeria japonica,Cryptomeria japonica
Larix x eurolepsis,Larix x eurolepis,Larix x eurolepis
Calocedrus decurrens,Calocedrus decurrens,Calocedrus decurrens
Pinus halepensis,Pinus halepensis,Pinus halepensis
"P. halepensis.P. pinaster, P. pinea","Pinus halepensis, Pinus pinaster, Pinus pinea",Pinus halepensis / Pinus pinaster / Pinus pinea
"Tilia cordata, Tilia platyphillos, Quercus robur, Quercus petraea","Tilia cordata, Tilia platyphyllos, Quercus robur, Quercus petraea",Tilia cordata / Tilia platyphyllos / Quercus robur / Quercus petraea
medronheiro (Arbutus unedo),Strawberry tree (Arbutus unedo),Arbutus unedo
"Pinus halepensis, Pinus pinaster","Pinus halepensis, Pinus pinaster",Pinus halepensis / Pinus pinaster
Pinus radiata,Pinus radiata,Pinus radiata
Fagus silvatica,Fagus sylvatica,Fagus sylvatica
Latifoglie miste,Mixed broadleaves,Mixed broadleaves
