Original,English,Category
IUFRO,IUFRO,Advice_from_government_extension_agencies_researchers
CNPF France _ et CETEF du tarn dont je suis administrateur,"CNPF France and CETEF of Tarn, of which I am an administrator",Advice_from_government_extension_agencies_researchers
R&D CNPF et autres établissements,R&D at CNPF and other institutions,Advice_from_government_extension_agencies_researchers
Euforgen publications,EUFORGEN publications,Advice_from_government_extension_agencies_researchers
Forstplanzgärten,Forest planting gardens / forest nurseries,Advice_from_other_foresters_forest_owners
Kollegen,Colleagues,Advice_from_other_foresters_forest_owners
Netværk,Network,Advice_from_other_foresters_forest_owners
Advice from Forest Management company,Advice from a forest management company,Advice_from_other_foresters_forest_owners
local community,Local community,Advice_from_other_foresters_forest_owners
"Posiadane wykształcenie inżynierskie, poszerzone studiami podyplomowymi i duże doświadczenie praktyczne","Engineering education, further expanded through postgraduate studies, and extensive practical experience",Continuous_education
online courses,Online courses,Continuous_education
szkolenia,Training courses,Continuous_education
univercidade,University,Continuous_education
univerzity,Universities,Continuous_education
"cours, visites","Courses, visits",Continuous_education
les formations de la Société Royale Forestière de Belgique,Training courses of the Royal Forestry Society of Belgium,Continuous_education
Support de cours,Course material,Continuous_education
università,University,Continuous_education
Weiterbildungskurse zum Thema Klimawandel und den Wald,Continuing education courses on climate change and forests,Continuous_education
Forstliche Fachfortbildungem,Professional forestry training courses,Continuous_education
"colloques, réunions chercheurs-gestionnaires",Conferences and researcher-manager meetings,Events
szóbeli közlés,Oral communication,Events
szakmai konferenciák,Professional conferences,Events
konferencje naukowe,Scientific conferences,Events
"Konferenciák, tájékoztatók","Conferences, information sessions",Events
Asistencia a congresos,Attendance at congresses,Events
dogodki,Events,Events
Szakmai rendezvények előadásai,Presentations at professional events,Events
Seminarji / konference,Seminars / conferences,Events
wytyczne PGLLP,Guidelines of the Polish State Forests,Government_reports
Informacje z dyrekcji generalnej Lasów Państwowych w Polsce,Information from the General Directorate of the State Forests in Poland,Government_reports
Government guidelines and standards.,Government guidelines and standards,Government_reports
Legislation,Legislation,Government_reports
WEB Seminare,Web seminars,Internet_i_e_Social_media_like_LinkedIn
Podcast,Podcast,Internet_i_e_Social_media_like_LinkedIn
Viel herumkommen mit offenen Augen.,Getting around a lot with open eyes,Own_experience
Je manque malheureusement de temps pour m'informer,"Unfortunately, I lack time to inform myself",Own_experience
Eigene Praxiserfahrung,Own practical experience,Own_experience
observations et expérience personnelle de terrain,Observations and personal field experience,Own_experience
własne doświadczenie zawodowe,Own professional experience,Own_experience
own knowledge,Own knowledge,Own_experience
Forest Management Plan data,Forest management plan data,Own_experience
esperienza,Experience,Own_experience
eigene Erfahrungen aus Projekten,Own experience from projects,Own_experience
"Expériences sur ""mes"" forêts, observation des résultats des expériences des autres et ma formation scientifique","Experiences in “my” forests, observation of the results of others’ experiments, and my scientific training",Own_experience
eigene Erfahrung,Own experience,Own_experience
trial and error,Trial and error,Own_experience
eigene Erfahrungen,Own experience,Own_experience
Beaucoup d'observations et d'expériences,Many observations and experiences,Own_experience
Praxis ist das A und O und Schauen wie es die andren Forstkollegen auf der Welt und natürlich in Europa tun !,"Practice is what matters most, and observing how other forestry colleagues around the world, and of course in Europe, do it",Own_experience
libri come: https://www.aisf.it/wp-content/uploads/2014/06/forest-and-man.pdf,Books such as: https://www.aisf.it/wp-content/uploads/2014/06/forest-and-man.pdf,Reports_or_news_blogs_from_forest_associations
PSG Forêt d'ici,PSG Forêt d’ici,Reports_or_news_blogs_from_forest_associations
"Vorträge, Weiterbildungsveranstaltungen","Lectures, continuing education events",Reports_or_news_blogs_from_forest_associations
Guides de gestion,Management guides,Reports_or_news_blogs_from_forest_associations
syndicat propriétaires forestier Fransylva - CRPF,Forest owners’ union Fransylva and CRPF,Reports_or_news_blogs_from_forest_associations
książki naukowe dot danych zagadnień,Scientific books on the relevant topics,Reports_or_news_blogs_from_forest_associations
Wytyczne jednostek nadrzędnych,Guidelines from superior units,Reports_or_news_blogs_from_forest_associations
Landwirtschaftszeitungen,Agricultural newspapers,Reports_or_news_blogs_from_forest_associations
Metsän jatkuvan kasvatuksen yhdistys Silva ry,Finnish Continuous Cover Forestry Association Silva ry,Reports_or_news_blogs_from_forest_associations
"Asso ""Sylvestre GDF 09, Pro Silva","Association “Sylvestre GDF 09,” Pro Silva",Reports_or_news_blogs_from_forest_associations
association GDF Sylvestre 09,GDF Sylvestre 09 association,Reports_or_news_blogs_from_forest_associations
"Fachportale im Internet, wie www.waldwissen.net","Professional internet portals, such as www.waldwissen.net",Reports_or_news_blogs_from_forest_associations
"pro Silva, ANW","Pro Silva, ANW",Reports_or_news_blogs_from_forest_associations
"Associations, syndicats, CNPF","Associations, unions, CNPF",Reports_or_news_blogs_from_forest_associations
Membership of forestry societies have contributed greatly to my knowledge and understanding of forestry,Membership of forestry societies has contributed greatly to my knowledge and understanding of forestry,Reports_or_news_blogs_from_forest_associations
prasa leśna,Forestry press,Reports_or_news_blogs_from_forest_associations
my own research,My own research,Scientific_forestry_journals
Libri e divulgatori scientifici,Books and science communicators,Scientific_forestry_journals
tuja literatura spodročja gozdarstva,Foreign literature from the field of forestry,Scientific_forestry_journals
Strokovne učbenike,Professional textbooks,Scientific_forestry_journals
