Original,English,Category
modification des orientations de gestion en vue de la conservation des peuplements anciens,Modification of management guidelines with the aim of conserving old stands,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
répression,Enforcement / repression,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
"dopuszczenie do sadzenia gatunków uznawanych dotychczas za obce np.Pseudotsuga menziesii, itp","Allowing the planting of species previously considered alien, for example Pseudotsuga menziesii, etc.",Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
Modifica legislazione in materia di gestione forestale,Change legislation concerning forest management,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
DEbloquer les verrous sur les flux d'essences. Débat stérile sur les exotiques. Par exemple un chene pubescent est considéré comme exotique dans le nord de la France,"Remove barriers to the movement of tree species. The debate about exotics is sterile. For example, pubescent oak is considered exotic in northern France",Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
Politici coerente și ghiduri pentru diferite zone geografice,Coherent policies and guidelines for different geographical zones,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
"previdnos, previdnost, previdnost pri vnosu neavtohtonih vrst","Caution, caution, caution when introducing non-native species",Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
Zmírnění legislativních limitů pro vlastníky lesa.,Easing legislative limits for forest owners,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
Bereitstellung Saat- und Pflanzgut aus mediterranen Herkünften,Provision of seed and planting material from Mediterranean provenances,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
Keine Einschränkung der Baumartenwahl (außer bei tatsächlich invasiven Arten) durch den Gesetzgeber; endlich eine strenge Durchsetzung der Jagdgesetze!,"No restriction of tree-species choice by legislators, except for truly invasive species; finally strict enforcement of hunting laws",Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
Zulassung fremdländischer Arten,Approval/admission of foreign species,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
"Fjerne begrebet ""Hjemmehørende""",Remove the concept of “native”,Changing_legislation_concerning_forest_reproductive_material_from_different_provenances_and_species
Edukacja promująca konieczność działań w celu adaptacji lasów do zmian klimatu.,Education promoting the need for actions to adapt forests to climate change,Education
Formation des propriétaires,Training of owners,Education
Mehr Aufklärung der Bevölkerung hinsichtlich der Fakten zum Wald,Better public education regarding facts about forests,Education
grand public plus éclairé,A better-informed general public,Education
informazione e coinvolgimento nelle scuole,Information and involvement in schools,Education
"revealing forest mismanagement, better education, less lobbyying from forest industry","Revealing forest mismanagement, better education, less lobbying from the forest industry",Education
Formation continue des propriétaires forestiers,Continuing education for forest owners,Education
"Campañas de sensibilización, cortar árboles en españa es una medida buena de adaptación al cambio climático",Awareness campaigns; cutting trees in Spain is a good measure for climate-change adaptation,Education
"erdőgazdálkodói képzések, kommunikációs projektek","Training for forest managers, communication projects",Education
"Aufklärung, Motivation und Unterstützung der Waldbauern","Education, motivation, and support for forest farmers",Education
Education,Education,Education
mise en place de moyen humain,Provision of human resources,Professional_autonomy
redução/ simplificação burocrática,Reduction/simplification of bureaucracy,Policy_effectiveness
"Entbürokratisierung, Deregulierung seitens EU",Reducing bureaucracy and deregulation by the EU,Policy_effectiveness
ograniczenie roli w polityce pseudoekologów i oszołomów klimatycznych,Limit the role of pseudo-ecologists and climate fanatics in politics,Policy_effectiveness
Change of government,Change of government,Policy_effectiveness
Politique d'atténuation des gaz à effet de serre plus ambitieuse,More ambitious greenhouse-gas mitigation policy,Policy_effectiveness
EFFECTIVE POLICIES,Effective policies,Policy_effectiveness
"Drasztikus, államilag irányított nagyvadlétszám-apasztásadlétsz","Drastic, state-directed reduction of large game populations",Game_reduction_or_control
Besucherlenkung für eine wieder funktionale Jagdmöglichkeit. Aufklärung der Öffentlichkeit was Rechte und Pflichten angeht.,Visitor management to make hunting functional again. Informing the public about rights and duties,Game_reduction_or_control
un juste dosage entre accompagnement des dynamiques naturelles et plantations en diversification et enrichissement. Restauration de l'équilibre faune flore!!!,A proper balance between supporting natural dynamics and diversification/enrichment plantings. Restoration of the fauna-flora balance,Game_reduction_or_control
"Better promotion of vertical and age diversification of forest stands in state-owned forests, Enforcement of effective game management in all forests, Promoting natural regeneration and use of pioneer tree species in large-scale post-disturbance restoration","Better promotion of vertical and age diversification of forest stands in state-owned forests, enforcement of effective game management in all forests, and promotion of natural regeneration and pioneer tree species in large-scale post-disturbance restoration",Game_reduction_or_control
Retablir un equilibre sylvo-cynegetique,Restore a forest-game balance,Game_reduction_or_control
Wildregulation,Game regulation,Game_reduction_or_control
