Original,English,Category
kőrispusztulás,Ash dieback,Ash_dieback
Chalarose du frêne,Ash dieback,Ash_dieback
Fraxinus excelsior pusztulás,Dieback of Fraxinus excelsior,Ash_dieback
Chalarose,Ash dieback,Ash_dieback
Crown decline and pathogen damage due to Ash Dieback,Crown decline and pathogen damage due to ash dieback,Ash_dieback
"Käferbäume sollen aus Naturschutz bleiben, zuviel Totholz , Borkenkäferausbreitung aus Nationalparken und Naturschutzgebieten durch irrsinnige Grüne Ideologien, Altbäume bester Qualität sollen im Wald oder Schutzgebiet verfaulen und CO2 in Mengen freisetzen, Nationalparke waren vorher normale Wirtschaftswälder und erfüllen kaum IUCN Kriterien , Ausweisung von FFH Gebieten gegen den Willen der Forstfachleute","Beetle-infested trees are supposed to remain for nature conservation, too much deadwood, bark beetle spread from national parks and protected areas due to what the respondent sees as misguided green ideology; high-quality old trees are left to rot in forests or protected areas and release large amounts of CO2; national parks were previously normal production forests and hardly meet IUCN criteria; designation of FFH areas against the will of forestry experts",Bark_beetle_outbreaks
dégâts biches chevreuil,Damage by female deer and roe deer,Browsing_damage
Fraßschäden durch Rehe,Feeding damage by roe deer,Browsing_damage
Wildschäden,Wildlife damage,Browsing_damage
dégâts de cervidés,Damage by cervids/deer,Browsing_damage
Déséquilibre sylvocynégétique,Forest-game imbalance,Browsing_damage
przyrost udziału gatunków liściastych,Increase in the proportion of broadleaved species,Change_in_forest_composition
abbandono della gestione forestale,Abandonment of forest management,Change_in_forest_composition
Perte de volume folliaire,Loss of foliage volume,Crown_decline
Dommages liés aux fortes chaleurs estivales,Damage related to strong summer heat,Drought_related_stress
Inváziós fajok okozta kár,Damage caused by invasive species,Exotic_invasive_tree_species
Aumento competizione esotiche,Increased competition from exotic species,Exotic_invasive_tree_species
Invasive tree,Invasive tree,Exotic_invasive_tree_species
"víz elöntés, árvíz, belvíz","Water inundation, flood, inland waterlogging",Flood_damage
chablis par sols gorgés d'eau + castor,Windthrow due to waterlogged soils and beaver,Flood_damage
tölgy csipkés poloska,Oak lace bug,Insect_damage_other_than_bark_beetle
cocciniglia greca,Greek scale insect,Insect_damage_other_than_bark_beetle
tölgy csipkéspoloska,Oak lace bug,Insect_damage_other_than_bark_beetle
gels tardifs,Late frosts,Late_frost
Couleur noir au pied de certains arbres,Black colour at the base of some trees,Pathogen_damage
"csökkent magtermés, vadkár növekedése, idegenhonos invazív károsítók","Reduced seed production, increased wildlife damage, non-native invasive pests",Reduced_seed_production_or_regeneration
difficulté de régénération(manque de fructification),Regeneration difficulty due to lack of fruiting,Reduced_seed_production_or_regeneration
inappropriate post-disturbance responses,Inappropriate post-disturbance responses,Reduced_seed_production_or_regeneration
Difficultés de régénération,Regeneration difficulties,Reduced_seed_production_or_regeneration
Bad regeneration,Bad regeneration,Reduced_seed_production_or_regeneration
VIGOUR,Vigour,Reduced_tree_vigor
Nevadas,Snowfalls,Snow_damage
neige lourde,Heavy snow,Snow_damage
uszkodzenia od silnych wiatrów,Damage from strong winds,Storm_damage
bardzo duże szkody od huraganów,Very large damage from hurricanes,Storm_damage
Chablis et dépérissements à cause de coupes rases des voisins,Windthrow and dieback due to neighbours’ clear-cuts,Storm_damage
"I can not say that storms have increased in number or severity since the first two storms that I lived through namely Feb 1957, Debbie 1961 Feb 1974 & so on at similar intervals. The amount of damage done on Ireland has only increased as forests covered less than 5% of land area and is now almost 12% of land area","I cannot say that storms have increased in number or severity since the first storms I lived through, namely February 1957, Debbie in 1961, February 1974, and so on at similar intervals. The amount of damage in Ireland has only increased because forests covered less than 5% of land area and now cover almost 12%",Storm_damage
augmentation des coupes de gros bois,Increase in cutting of large timber,Urgent_management_required
intensification de la sylviculture,Intensification of forestry,Urgent_management_required
jemioła,Mistletoe,Viscum_album
Viscum album L. on Abies,Viscum album on fir,Viscum_album
Zasiedlenie przez jemioły,Colonization by mistletoe,Viscum_album
"Viscum album, Ips acuminata","Viscum album, Ips acuminata",Viscum_album
ochmet,Likely mistletoe / yellow mistletoe,Viscum_album
