Original text,Translation,Species
Sorbus aria,Sorbus aria,Sorbus aria
Corylus colurna,Corylus colurna,Corylus colurna
Erable sycomore - Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus
Fraxinus Ornus,Fraxinus ornus,Fraxinus ornus
"Acer pseudoplatanus, Acer platanoides, Tilia cordata, Tilia platiphyllos, Sorbus aucuparia, Sorbus montanus,",Acer pseudoplatanus / Acer platanoides / Tilia cordata / Tilia platyphyllos / Sorbus aucuparia / Sorbus montanus,Acer pseudoplatanus / Acer platanoides / Tilia cordata / Tilia platyphyllos / Sorbus aucuparia / Sorbus montanus
Flatterulme,Ulmus laevis,Ulmus laevis
"cormier (Sorbus domestica), frêne à fleurs (Fraxinus Ornus), orme de montagne (Ulmus glabre), Sorbus aria.",Sorbus domestica / Fraxinus ornus / Ulmus glabra / Sorbus aria,Sorbus domestica / Fraxinus ornus / Ulmus glabra / Sorbus aria
Quercus pubescens,Quercus pubescens,Quercus pubescens
Tilia cordata,Tilia cordata,Tilia cordata
Chêne pubescent,Quercus pubescens,Quercus pubescens
"Acer opalus, monspeliensis; Sorbus aria, domestica; Fraxinus ornus; Quercus zeen; ...",Acer opalus / Acer monspeliensis / Sorbus aria / Sorbus domestica / Fraxinus ornus / Quercus zeen,Acer opalus / Acer monspeliensis / Sorbus aria / Sorbus domestica / Fraxinus ornus / Quercus zeen
fraxinus ornus,Fraxinus ornus,Fraxinus ornus
"Acer platanoides, Acer pseudoplatanus, Quercus polycarpa, Q. dalechampii, Q. pubescens/virgiliana, Q. frainetto, Fraxinus excelsior, Ulmus glabra",Acer platanoides / Acer pseudoplatanus / Quercus polycarpa / Quercus dalechampii / Quercus pubescens / Quercus virgiliana / Quercus frainetto / Fraxinus excelsior / Ulmus glabra,Acer platanoides / Acer pseudoplatanus / Quercus polycarpa / Quercus dalechampii / Quercus pubescens / Quercus virgiliana / Quercus frainetto / Fraxinus excelsior / Ulmus glabra
"Every native tree species, which should be applicable","Every native tree species, which should be applicable",many
Pas de plantation dans ma région.,No plantations in my region.,
Alnus glutinosa,Alnus glutinosa,Alnus glutinosa
orme des montagnes,Ulmus glabra,Ulmus glabra
"Qurcus robur, Fraxinus excelsior, Acer pseudoplatanus",Quercus robur / Fraxinus excelsior / Acer pseudoplatanus,Quercus robur / Fraxinus excelsior / Acer pseudoplatanus
Sorbus domestica cormier,Sorbus domestica,Sorbus domestica
Cormier,Sorbus domestica,Sorbus domestica
grusza,Pyrus spp.,Pyrus spp.
Querqus robur,Quercus robur,Quercus robur
Acer platanoides,Acer platanoides,Acer platanoides
Prunus avium,Prunus avium,Prunus avium
Quercus ilex,Quercus ilex,Quercus ilex
Acer pseudoplatanus si platanoides,Acer pseudoplatanus / Acer platanoides,Acer pseudoplatanus / Acer platanoides
vadgyümölcsök,Wild fruits,many
Carpinus betulus,Carpinus betulus,Carpinus betulus
Eucalyptus globulus,Eucalyptus globulus,Eucalyptus globulus
Quercus cerris L.,Quercus cerris,Quercus cerris
Nu,No,
"Mezei szil, magyar kőris, tatárjuhar",Ulmus minor / Fraxinus excelsior / Acer tataricum,Ulmus minor / Fraxinus excelsior / Acer tataricum
trnka obecná,Prunus spinosa,Prunus spinosa
Carya spec.,Carya spp.,Carya spp.
Sorbus domestica,Sorbus domestica,Sorbus domestica
Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus
"Il manque \""risque d'être affecté par des stress climatiques\"" dans les raisons du \""NON\"" !! Du coup j'ai mis partout \""maladies\"" ... Je plante d'autres feuillus, que j'ai mis dans la partie \""Résineux\"" de l'enquête.","The reason ""risk of being affected by climate stress"" is missing in the ""NO"" reasons!! So I put ""diseases"" everywhere... I am planting other broadleaves, which I have put in the ""Conifers"" part of the survey.",
No other suggestions,No other suggestions,
Several of these tree species are not native in Sweden or can only be cultivated in the most southern parts. I would choose eg Acer platanoides and Sorbus aucaparia,Several of these tree species are not native in Sweden or can only be cultivated in the most southern parts. I would choose e.g. Acer platanoides and Sorbus aucuparia,Acer platanoides / Sorbus aucuparia
"Thuja plicata, Hemlocktanne",Thuja plicata / Tsuga heterophylla,Thuja plicata / Tsuga heterophylla
Sureau,Sambucus spp.,Sambucus spp.
diverse...,Various...,many
Alnus,Alnus spp.,Alnus spp.
Fraxinus exelsior,Fraxinus excelsior,Fraxinus excelsior
"Hainbuche, Winter/Sommerlinde",Carpinus betulus / Tilia cordata / Tilia platyphyllos,Carpinus betulus / Tilia cordata / Tilia platyphyllos
"Schneeballblättriger Ahorn, Baumhasel",Acer opalus / Corylus colurna,Acer opalus / Corylus colurna
Schneeballblättriger Ahorn / Baumhasel,Acer opalus / Corylus colurna,Acer opalus / Corylus colurna
Acer opalus,Acer opalus,Acer opalus
"Juglans regia, Sorbus domestica, und weitere",Juglans regia / Sorbus domestica / and others,Juglans regia / Sorbus domestica 
Quercus robur,Quercus robur,Quercus robur
